,Unnamed: 0,id_partida,competition,home_team,away_team,score_home,score_away,1_time_home,1_time_away,2_time_home,2_time_away,over_0_5,over_1_5,over_2_5,over_3_5,over_4_5,btts,team_over_0_5_rate,team_over_1_5_rate,team_over_2_5_rate,team_over_3_5_rate,team_over_4_5_rate,team_btts_rate,team_ppg_last_5,team_avg_goals_scored_l5,team_avg_goals_conceded_l5,team_clean_sheets_l5,team_avg_clean_sheets_l5,team_Analise,total_goals,adversario,resultado
21,21,542542,Ligue 1,FC Metz,Paris Saint-Germain FC,2.0,3.0,1.0,2.0,1.0,1.0,True,True,True,True,True,True,0.8,0.6,0.6,0.4,0.4,0.2,2.0,2.6,0.8,3.0,0.6,5.0,5.0,FC Metz,2.0
22,22,542557,Ligue 1,Paris Saint-Germain FC,Paris FC,2.0,1.0,1.0,0.0,1.0,1.0,True,True,True,False,False,True,0.8,0.6,0.6,0.6,0.6,0.4,2.0,2.6,1.2,2.0,0.4,5.0,3.0,Paris FC,2.0
23,23,542563,Ligue 1,Paris Saint-Germain FC,Lille OSC,3.0,0.0,1.0,0.0,2.0,0.0,True,True,True,False,False,False,0.8,0.6,0.6,0.4,0.4,0.4,2.0,2.0,0.8,2.0,0.4,5.0,3.0,Lille OSC,2.0
24,24,551962,UEFA Champions League,Sporting Clube de Portugal,Paris Saint-Germain FC,2.0,1.0,0.0,0.0,2.0,1.0,True,True,True,False,False,True,0.8,0.8,0.8,0.4,0.4,0.4,2.6,2.6,0.6,3.0,0.6,5.0,3.0,Sporting Clube de Portugal,0.0
25,25,542569,Ligue 1,AJ Auxerre,Paris Saint-Germain FC,0.0,1.0,0.0,0.0,0.0,1.0,True,False,False,False,False,False,0.8,0.8,0.8,0.2,0.2,0.6,2.0,1.8,1.0,2.0,0.4,5.0,1.0,AJ Auxerre,2.0
26,26,552050,UEFA Champions League,Paris Saint-Germain FC,Newcastle United FC,1.0,1.0,1.0,1.0,0.0,0.0,True,True,False,False,False,True,1.0,0.8,0.8,0.2,0.2,0.6,2.4,2.0,1.0,2.0,0.4,5.0,2.0,Newcastle United FC,1.0
27,27,542583,Ligue 1,RC Strasbourg Alsace,Paris Saint-Germain FC,1.0,2.0,1.0,1.0,0.0,1.0,True,True,True,False,False,True,1.0,0.8,0.6,0.0,0.0,0.6,2.0,1.6,0.8,2.0,0.4,5.0,3.0,RC Strasbourg Alsace,2.0
28,28,542591,Ligue 1,Paris Saint-Germain FC,Olympique de Marseille,5.0,0.0,2.0,0.0,3.0,0.0,True,True,True,True,True,False,1.0,0.8,0.6,0.0,0.0,0.6,2.0,1.6,0.8,2.0,0.4,5.0,5.0,Olympique de Marseille,2.0
29,29,542603,Ligue 1,Stade Rennais FC 1901,Paris Saint-Germain FC,3.0,1.0,1.0,0.0,2.0,1.0,True,True,True,True,False,True,1.0,0.8,0.6,0.2,0.2,0.6,2.0,2.0,0.8,2.0,0.4,5.0,4.0,Stade Rennais FC 1901,0.0
30,30,552053,UEFA Champions League,AS Monaco FC,Paris Saint-Germain FC,2.0,3.0,2.0,2.0,0.0,1.0,True,True,True,True,True,True,1.0,0.8,0.6,0.4,0.2,0.6,2.0,2.0,1.0,2.0,0.4,5.0,5.0,AS Monaco FC,2.0
31,31,542608,Ligue 1,Paris Saint-Germain FC,FC Metz,3.0,0.0,2.0,0.0,1.0,0.0,True,True,True,False,False,False,1.0,1.0,0.8,0.6,0.4,0.8,2.0,2.4,1.4,1.0,0.2,5.0,3.0,FC Metz,2.0
32,32,552061,UEFA Champions League,Paris Saint-Germain FC,AS Monaco FC,2.0,2.0,0.0,1.0,2.0,1.0,True,True,True,True,False,True,1.0,1.0,1.0,0.6,0.4,0.6,2.4,2.8,1.2,2.0,0.4,5.0,4.0,AS Monaco FC,1.0
33,33,542613,Ligue 1,Le Havre AC,Paris Saint-Germain FC,0.0,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False,1.0,1.0,1.0,0.8,0.4,0.6,2.0,2.8,1.4,2.0,0.4,5.0,1.0,Le Havre AC,2.0
34,34,542628,Ligue 1,Paris Saint-Germain FC,AS Monaco FC,1.0,3.0,0.0,1.0,1.0,2.0,True,True,True,True,False,True,1.0,0.8,0.8,0.6,0.2,0.6,2.0,2.0,1.4,2.0,0.4,5.0,4.0,AS Monaco FC,0.0
35,35,552068,UEFA Champions League,Paris Saint-Germain FC,Chelsea FC,5.0,2.0,2.0,1.0,3.0,1.0,True,True,True,True,True,True,1.0,0.8,0.8,0.6,0.2,0.6,2.0,2.0,1.4,2.0,0.4,5.0,7.0,Chelsea FC,2.0
36,36,552076,UEFA Champions League,Chelsea FC,Paris Saint-Germain FC,0.0,3.0,0.0,2.0,0.0,1.0,True,True,True,False,False,False,1.0,0.8,0.8,0.6,0.2,0.6,2.0,2.4,1.4,2.0,0.4,5.0,3.0,Chelsea FC,2.0
37,37,542644,Ligue 1,OGC Nice,Paris Saint-Germain FC,0.0,4.0,0.0,1.0,0.0,3.0,True,True,True,True,False,False,1.0,0.8,0.8,0.6,0.2,0.6,2.0,2.4,1.4,2.0,0.4,5.0,4.0,OGC Nice,2.0
38,38,542654,Ligue 1,Paris Saint-Germain FC,Toulouse FC,3.0,1.0,2.0,1.0,1.0,0.0,True,True,True,True,False,True,1.0,0.8,0.8,0.6,0.2,0.4,2.4,2.8,1.0,3.0,0.6,5.0,4.0,Toulouse FC,2.0
39,39,556718,UEFA Champions League,Paris Saint-Germain FC,Liverpool FC,,,,,,,False,False,False,False,False,False,1.0,1.0,1.0,0.8,0.2,0.6,2.4,3.2,1.2,2.0,0.4,5.0,,Liverpool FC,
